Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
704,Stephen Johnson*,Oklahoma,Big 12,5,0,0,0,0,0,0,0,0,8,8,2,2,0,0,14,2.8,,stephen-johnson-9
705,Stetson Bennett*,Georgia,SEC,8,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,1.8,,stetson-bennett-1
706,Tyler Shough*,Oregon,Pac-12,7,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,2.0,,tyler-shough-1
707,Xavier White,Texas Tech,Big 12,8,2,0,0,0,0,0,0,2,0,0,0,0,1,0,14,1.8,,xavier-white-1
708,Zane Pope,Fresno State,MWC,3,0,2,0,0,0,0,0,2,0,0,0,0,1,0,14,4.7,,zane-pope-1
709,Zaven Collins*,Tulsa,American,8,0,0,0,0,0,2,0,2,0,0,0,0,0,1,14,1.8,NagurskiBednarikAA,zaven-collins-1
710,Chris Howard*,Florida,SEC,3,0,0,0,0,0,0,0,0,7,7,2,2,0,0,13,4.3,,chris-howard-5
711,Aaron Hackett,Syracuse,ACC,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,aaron-hackett-1
712,Ahmarean Brown,Georgia Tech,ACC,7,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,ahmarean-brown-1
713,AJ Lewis,Troy,Sun Belt,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,aj-lewis-1
714,Alan Orona,Texas State,Sun Belt,3,0,0,0,0,0,0,0,0,9,10,1,3,0,0,12,4.0,,alan-orona-1
715,Alexander Horvath,Purdue,Big Ten,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,alexander-horvath-1
716,Amare Jones*,Tulane,American,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,amare-jones-1
717,Andrew Erickson,New Mexico,MWC,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,andrew-erickson-1
718,Andrew Parchment,Kansas,Big 12,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.5,,andrew-parchment-1
719,Anthony Brown*,Oregon,Pac-12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,6.0,,anthony-brown-11
720,Anthony Queeley,Syracuse,ACC,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,anthony-queeley-1
721,Anthony Russo,Temple,American,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,3.0,,anthony-russo-3
722,Antonio Nunn*,Buffalo,MAC,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,antonio-nunn-1
723,Arik Gilbert,LSU,SEC,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.5,,arik-gilbert-1
724,Armani Rogers,Ohio,MAC,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,4.0,,armani-rogers-1
725,Asim Rose*,Kentucky,SEC,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,asim-rose-1
726,Austin Aune*,North Texas,CUSA,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.5,,austin-aune-1
727,Avery Davis*,Notre Dame,ACC,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,avery-davis-1
728,Beau Johnson*,Georgia Southern,Sun Belt,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.4,,beau-johnson-2
729,B.J. Daniels*,UTSA,CUSA,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,bj-daniels-2
730,Blake Corum,Michigan,Big Ten,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,blake-corum-1
731,Blake Kern,Arkansas,SEC,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,blake-kern-1
732,Braden Galloway*,Clemson,ACC,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,braden-galloway-1
733,Brady White*,Memphis,American,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,brady-white-1
734,Braxton Burmeister,Virginia Tech,ACC,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,braxton-burmeister-1
735,Brenden Schooler*,Texas,Big 12,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,brenden-schooler-1
736,Brennon Dingle*,UTSA,CUSA,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,brennon-dingle-1
737,Brenton Strange,Penn State,Big Ten,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,brenton-strange-1
738,Bru McCoy,USC,Pac-12,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,bru-mccoy-1
739,Bryan Thompson,Utah,Pac-12,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12,2.4,,bryan-thompson-1
740,Bryson Cannon,Eastern Michigan,MAC,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.4,,bryson-cannon-1
741,Bryson Smith*,Houston,American,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,bryson-smith-1
742,Caleb Spurlin*,Appalachian State,Sun Belt,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,caleb-spurlin-1
743,Calvin Tyler Jr.,Oregon State,Pac-12,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,4.0,,calvin-tyler-jr-1
744,Cam Wiley,Minnesota,Big Ten,7,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,cam-wiley-1
745,Camren McDonald,Florida State,ACC,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,camren-mcdonald-1
746,Caziah Holmes,Penn State,Big Ten,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.3,,caziah-holmes-1
747,Chandler Morris*,Oklahoma,Big 12,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2.4,,chandler-morris-1
748,Charlie Mangieri*,Northwestern,Big Ten,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.5,,charlie-mangieri-1
749,Chase Allen*,Iowa State,Big 12,12,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.0,,chase-allen-1
750,Chase Garbers,California,Pac-12,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,3.0,,chase-garbers-1
751,Chase Lane*,Texas A&M,SEC,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,chase-lane-1
752,Chris Barrett*,Liberty,Ind,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,chris-barrett-2
753,Chritauskie Dove,Missouri,SEC,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,chritauskie-dove-1
754,C.J. Jones*,Western Kentucky,CUSA,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,cj-jones-10
755,C.J. Riley*,North Carolina State,ACC,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,cj-riley-1
756,Cole Tucker,Northern Illinois,MAC,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,cole-tucker-1
757,Connor Bazelak,Missouri,SEC,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,connor-bazelak-1
758,Connor Heyward,Michigan State,Big Ten,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,connor-heyward-1
759,Craig Burt Jr.*,Western Kentucky,CUSA,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.1,,craig-burt-jr-1
760,Craig Williams,Baylor,Big 12,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,3.0,,craig-williams-2
761,CT Thomas,Boise State,MWC,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.7,,ct-thomas-1
762,Dakereon Joyner,South Carolina,SEC,10,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12,1.2,,dakereon-joyner-1
763,Dalvin Smith*,Western Kentucky,CUSA,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,2.0,,dalvin-smith-1
764,Daniel Barker,Illinois,Big Ten,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,1.5,,daniel-barker-1
765,Daniel Hishaw Jr.,Kansas,Big 12,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1.5,,daniel-hishaw-jr-1
766,Danny Davis*,Wisconsin,Big Ten,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,12,6.0,,danny-davis-5
