Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
37,Roc Taylor*,Memphis,American,13,66,950,14.4,2,73.1,2,5,2.5,0,0.4,68,955,14.0,2,,roc-taylor-1
38,Trebor Pena*,Syracuse,ACC,13,84,941,11.2,9,72.4,12,72,6.0,1,5.5,96,1013,10.6,10,,trebor-pena-1
39,Oronde Gadsden II*,Syracuse,ACC,13,73,934,12.8,7,71.8,1,12,12.0,0,0.9,74,946,12.8,7,,oronde-gadsden-ii-1
40,Kevin Coleman Jr.,Mississippi State,SEC,12,74,932,12.6,6,77.7,4,11,2.8,0,0.9,78,943,12.1,6,,kevin-coleman-jr-1
41,LaJohntay Wester*,Colorado,Big 12,13,74,931,12.6,10,71.6,1,0,0.0,0,0.0,75,931,12.4,10,,lajohntay-wester-1
42,Kisean Johnson*,Western Kentucky,CUSA,14,75,925,12.3,7,66.1,3,14,4.7,0,1.0,78,939,12.0,7,,kisean-johnson-1
43,Jordan Watkins*,Ole Miss,SEC,12,49,906,18.5,9,75.5,3,20,6.7,0,1.7,52,926,17.8,9,,jordan-watkins-2
44,Antonio Williams,Clemson,ACC,14,75,904,12.1,11,64.6,7,101,14.4,1,7.2,82,1005,12.3,12,,antonio-williams-2
45,Cam Camper,Boise State,MWC,14,58,903,15.6,4,64.5,0,0,,0,0.0,58,903,15.6,4,,cam-camper-1
46,Trent Walker,Oregon State,Ind,12,81,901,11.1,2,75.1,4,8,2.0,0,0.7,85,909,10.7,2,,trent-walker-1
47,Tez Johnson,Oregon,Big Ten,12,83,898,10.8,10,74.8,1,-1,-1.0,0,-0.1,84,897,10.7,10,,tez-johnson-1
48,Giles Jackson*,Washington,Big Ten,13,85,893,10.5,7,68.7,4,16,4.0,1,1.2,89,909,10.2,8,,giles-jackson-1
49,Aaron Anderson*,LSU,SEC,13,61,884,14.5,5,68.0,0,0,,0,0.0,61,884,14.5,5,,aaron-anderson-3
50,Theo Wease*,Missouri,SEC,13,60,884,14.7,4,68.0,0,0,,0,0.0,60,884,14.7,4,,theo-wease-1
51,De'Zhaun Stribling,Oklahoma State,Big 12,12,52,882,17.0,6,73.5,0,0,,0,0.0,52,882,17.0,6,,dezhaun-stribling-1
