Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
27,Luke Elzinga*,Oklahoma,Big 12,11,27,1217,45.1,,luke-elzinga-1
28,Wes Pahl*,Oklahoma State,Big 12,14,27,1217,45.1,,wes-pahl-1
29,Alec Bevelhimer*,Miami (OH),MAC,14,58,2609,45.0,,alec-bevelhimer-1
30,Noah Fifita*,Arizona,Pac-12,12,2,90,45.0,,noah-fifita-1
31,Riley Riethman,Navy,American,12,80,3583,44.8,,riley-riethman-1
32,Jack Stonehouse*,Syracuse,ACC,13,62,2766,44.6,,jack-stonehouse-1
33,Oscar Chapman*,Auburn,SEC,13,61,2720,44.6,,oscar-chapman-1
34,Grant Gonya,Charlotte,American,12,60,2670,44.5,,grant-gonya-2
35,Lachlan Wilson*,California,Pac-12,13,52,2314,44.5,,lachlan-wilson-1
36,Mark Vassett,Colorado,Pac-12,12,64,2845,44.5,,mark-vassett-1
37,Ryan Bujcevski*,SMU,American,14,40,1779,44.5,,ryan-bujcevski-1
38,Nick Haberer,Washington State,Pac-12,12,46,2041,44.4,,nick-haberer-1
39,Tommy Doman*,Michigan,Big Ten,15,53,2346,44.3,,tommy-doman-1
40,Tyler Perkins*,Iowa State,Big 12,13,61,2703,44.3,,tyler-perkins-1
41,Joshua Sloan,UTEP,CUSA,12,51,2254,44.2,,joshua-sloan-1
42,Logan Lupo,Florida Atlantic,American,12,53,2336,44.1,,logan-lupo-1
43,Anthony Venneri,Buffalo,MAC,12,51,2242,44.0,,anthony-venneri-1
44,Ben Krimm*,Notre Dame,Ind,3,1,44,44.0,,ben-krimm-1
45,Will Karoll*,Tulane,American,12,43,1894,44.0,,will-karoll-1
46,Brett Thorson*,Georgia,SEC,13,32,1403,43.8,,brett-thorson-1
47,Dylan Joyce*,Miami (FL),ACC,13,43,1882,43.8,,dylan-joyce-1
48,Miles Tillman,Middle Tennessee State,CUSA,12,34,1489,43.8,,miles-tillman-1
49,Aidan Swanson*,Clemson,ACC,13,61,2664,43.7,,aidan-swanson-1
50,Dario Longhetto,Arizona State,Pac-12,12,3,131,43.7,,dario-longhetto-1
51,Brady Braun,Louisiana-Monroe,Sun Belt,2,4,174,43.5,,brady-braun-1
52,Jesse Mirco*,Ohio State,Big Ten,13,50,2174,43.5,,jesse-mirco-1
53,Stephen Kotsanlee*,Utah State,MWC,6,23,1000,43.5,,stephen-kotsanlee-1
