Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
19,Ryan Fitzgerald*,Florida State,ACC,14,58,58,100.0,19,21,90.5,115,,ryan-fitzgerald-1
20,Jose Pizano*,Nevada-Las Vegas,MWC,14,55,55,100.0,26,29,89.7,133,,jose-pizano-1
21,Aidan Birr*,Georgia Tech,ACC,12,37,38,97.4,17,19,89.5,88,,aidan-birr-1
22,Camden Wise*,James Madison,Sun Belt,13,53,53,100.0,16,18,88.9,101,,camden-wise-1
23,Jonah Dalmas*,Boise State,MWC,14,48,49,98.0,24,27,88.9,120,,jonah-dalmas-1
24,Mateen Bhaghani*,California,Pac-12,10,29,29,100.0,8,9,88.9,53,,mateen-bhaghani-1
25,Andrew Glass,Kent State,MAC,12,16,17,94.1,15,17,88.2,61,,andrew-glass-1
26,Will Reichard*,Alabama,SEC,14,55,55,100.0,22,25,88.0,121,,will-reichard-1
27,Kenneth Almendares*,Louisiana,Sun Belt,13,50,51,98.0,14,16,87.5,92,,kenneth-almendares-1
28,Chase Allen*,UTSA,American,12,49,49,100.0,13,15,86.7,88,,chase-allen-2
29,Michael Hughes*,Appalachian State,Sun Belt,14,54,54,100.0,19,22,86.4,111,,michael-hughes-3
30,James Turner*,Michigan,Big Ten,15,65,66,98.5,18,21,85.7,119,,james-turner-2
31,Mitch Jeter,South Carolina,SEC,12,33,34,97.1,12,14,85.7,69,,mitch-jeter-1
32,Quinn Maretzki,Army,Ind,10,25,25,100.0,12,14,85.7,61,,quinn-maretzki-1
33,Will Bettridge,Virginia,ACC,12,31,31,100.0,18,21,85.7,85,,will-bettridge-1
34,Dragan Kesich*,Minnesota,Big Ten,13,27,27,100.0,23,27,85.2,96,,dragan-kesich-1
35,Joshua Karty,Stanford,Pac-12,12,21,21,100.0,23,27,85.2,90,,joshua-karty-1
36,Chase Meyer,Tulsa,American,12,30,31,96.8,17,20,85.0,81,,chase-meyer-1
37,Andres Borregales*,Miami (FL),ACC,13,44,45,97.8,22,26,84.6,110,,andres-borregales-1
38,Noah Rauschenberg,North Texas,American,12,46,46,100.0,16,19,84.2,94,,noah-rauschenberg-1
39,Peyton Woodring*,Georgia,SEC,14,71,71,100.0,21,25,84.0,134,,peyton-woodring-1
40,Alejandro Mata,Colorado,Pac-12,11,26,27,96.3,10,12,83.3,56,,alejandro-mata-1
41,Cam Little,Arkansas,SEC,12,33,33,100.0,20,24,83.3,93,,cam-little-1
42,Cole Becker*,Utah,Pac-12,10,28,28,100.0,15,18,83.3,73,,cole-becker-2
43,Derek McCormick,Louisiana-Monroe,Sun Belt,9,16,17,94.1,10,12,83.3,46,,derek-mccormick-1
44,Jai Patel*,Rutgers,Big Ten,12,33,34,97.1,15,18,83.3,78,,jai-patel-1
45,Bert Auburn*,Texas,Big 12,14,56,56,100.0,29,35,82.9,143,,bert-auburn-1
46,Michael Lantz*,Georgia Southern,Sun Belt,13,45,45,100.0,23,28,82.1,114,,michael-lantz-1
47,Grady Gross*,Washington,Pac-12,15,63,63,100.0,18,22,81.8,117,,grady-gross-1
48,Michael Hayes*,West Virginia,Big 12,13,46,46,100.0,17,21,81.0,97,,michael-hayes-5
49,Trey Smack,Florida,SEC,12,29,29,100.0,17,21,81.0,80,,trey-smack-1
50,Chase Contreraz*,Iowa State,Big 12,13,36,37,97.3,21,26,80.8,99,,chase-contreraz-1
51,Valentino Ambrosio*,Tulane,American,14,42,42,100.0,21,26,80.8,105,,valentino-ambrosio-2
52,Damian Ramos*,LSU,SEC,13,77,77,100.0,12,15,80.0,113,,damian-ramos-1
53,Dylan Lynch*,Fresno State,MWC,13,40,40,100.0,24,30,80.0,112,,dylan-lynch-1
54,Harrison Mevis*,Missouri,SEC,13,45,46,97.8,24,30,80.0,117,,harrison-mevis-1
55,Jacob Barnes,Louisiana Tech,CUSA,12,29,31,93.5,12,15,80.0,65,,jacob-barnes-1
56,Jayden Fielding*,Ohio State,Big Ten,13,49,50,98.0,16,20,80.0,97,,jayden-fielding-1
57,Nick Pawlak*,Toledo,MAC,14,50,51,98.0,12,15,80.0,86,,nick-pawlak-1
58,Teagen Lenderink*,Liberty,CUSA,2,5,6,83.3,4,5,80.0,17,,teagen-lenderink-2
59,Alex Hale*,Oklahoma State,Big 12,13,36,38,94.7,27,34,79.4,117,,alex-hale-1
60,Alex Felkins*,Penn State,Big Ten,13,47,47,100.0,19,24,79.2,104,,alex-felkins-1
61,Ethan Albertson*,New Mexico State,CUSA,15,49,50,98.0,19,24,79.2,106,,ethan-albertson-1
62,Scott Taylor Renfroe*,Troy,Sun Belt,14,50,50,100.0,19,24,79.2,107,,scott-taylor-renfroe-1
63,Tyler Loop*,Arizona,Pac-12,13,53,53,100.0,19,24,79.2,110,,tyler-loop-1
64,Carter Brown,Cincinnati,Big 12,12,30,30,100.0,15,19,78.9,75,,carter-brown-1
65,Jordan Noyes,Colorado State,MWC,11,29,29,100.0,15,19,78.9,74,,jordan-noyes-1
66,Matthew Dapore*,Air Force,MWC,12,34,35,97.1,15,19,78.9,79,,matthew-dapore-1
67,Nathanial Vakos*,Wisconsin,Big Ten,13,34,34,100.0,15,19,78.9,79,,nathanial-vakos-1
68,Chris Tennant*,Kansas State,Big 12,13,56,57,98.2,11,14,78.6,89,,chris-tennant-1
69,Colby Sessums,Sam Houston,CUSA,12,27,28,96.4,11,14,78.6,60,,colby-sessums-1
70,Elliott Nimrod*,Utah State,MWC,12,41,43,95.3,11,14,78.6,74,,elliott-nimrod-1
71,Liam Connor*,Boston College,ACC,13,36,39,92.3,11,14,78.6,69,,liam-connor-1
72,Seth Keller*,Kansas,Big 12,13,47,49,95.9,11,14,78.6,80,,seth-keller-1
73,Will Ferrin,BYU,Big 12,12,32,33,97.0,11,14,78.6,65,,will-ferrin-1
74,Brayden Narveson*,North Carolina State,ACC,13,38,38,100.0,18,23,78.3,92,,brayden-narveson-1
75,Caden Davis*,Ole Miss,SEC,13,45,45,100.0,18,23,78.3,99,,caden-davis-1
76,Charles Campbell*,Tennessee,SEC,13,49,49,100.0,18,23,78.3,103,,charles-campbell-3
77,Todd Pelino*,Duke,ACC,12,38,38,100.0,18,23,78.3,92,,todd-pelino-1
78,Matthew Shipley,Hawaii,MWC,13,30,31,96.8,14,18,77.8,72,,matthew-shipley-1
79,Dominic Zvada*,Arkansas State,Sun Belt,13,41,41,100.0,17,22,77.3,92,,dominic-zvada-1
80,Kade Hensley*,Coastal Carolina,Sun Belt,9,26,26,100.0,10,13,76.9,56,,kade-hensley-1
81,Tanner Gillis*,Memphis,American,10,47,49,95.9,10,13,76.9,77,,tanner-gillis-1
82,Brandon Talton,Nevada,MWC,12,19,19,100.0,15,20,75.0,64,,brandon-talton-1
83,Chase Gabriel,Florida International,CUSA,11,21,23,91.3,9,12,75.0,48,,chase-gabriel-1
84,Jesus Gomez*,Eastern Michigan,MAC,11,21,24,87.5,12,16,75.0,57,,jesus-gomez-1
85,Liam Rickman*,Georgia State,Sun Belt,13,41,42,97.6,9,12,75.0,68,,liam-rickman-1
86,Lucas Carneiro*,Western Kentucky,CUSA,13,47,47,100.0,9,12,75.0,74,,lucas-carneiro-1
87,Noe Ruelas,Connecticut,Ind,4,3,3,100.0,3,4,75.0,12,,noe-ruelas-1
88,Ryan Coe*,North Carolina,ACC,2,8,8,100.0,3,4,75.0,17,,ryan-coe-1
89,Randy Bond*,Texas A&M,SEC,13,48,48,100.0,26,35,74.3,126,,randy-bond-1
90,Collin Rogers*,SMU,American,14,66,67,98.5,20,27,74.1,126,,collin-rogers-1
91,Andrew Stein,Southern Mississippi,Sun Belt,12,27,28,96.4,17,23,73.9,78,,andrew-stein-1
92,Caleb Griffin,Illinois,Big Ten,12,24,26,92.3,14,19,73.7,66,,caleb-griffin-1
93,Jack Olsen*,Northwestern,Big Ten,13,33,33,100.0,14,19,73.7,75,,jack-olsen-1
94,Gino Garcia*,Texas Tech,Big 12,13,40,40,100.0,16,22,72.7,88,,gino-garcia-1
95,Kyle Ferrie,Mississippi State,SEC,12,27,27,100.0,16,22,72.7,75,,kyle-ferrie-1
96,Alan Anaya*,Bowling Green,MAC,13,43,43,100.0,13,18,72.2,82,,alan-anaya-1
97,Jonathan Kim,Michigan State,Big Ten,12,17,17,100.0,13,18,72.2,56,,jonathan-kim-2
98,Andrew Conrad,East Carolina,American,12,20,21,95.2,18,25,72.0,74,,andrew-conrad-1
99,Isaiah Hankins,Baylor,Big 12,12,21,23,91.3,18,25,72.0,75,,isaiah-hankins-1
100,Buzz Flabiano,UTEP,CUSA,12,29,30,96.7,10,14,71.4,59,,buzz-flabiano-1
101,Chris Freeman,Indiana,Big Ten,12,29,30,96.7,10,14,71.4,59,,chris-freeman-2
102,Denis Lynch*,USC,Pac-12,13,65,66,98.5,10,14,71.4,95,,denis-lynch-1
103,Jackson Courville,Ball State,MAC,12,24,25,96.0,15,21,71.4,69,,jackson-courville-1
104,Luke Drzewiecki,New Mexico,MWC,12,37,38,97.4,10,14,71.4,67,,luke-drzewiecki-1
105,Zach Schmit*,Oklahoma,Big 12,13,67,67,100.0,15,21,71.4,112,,zach-schmit-1
106,Zeke Rankin,Middle Tennessee State,CUSA,12,35,37,94.6,10,14,71.4,65,,zeke-rankin-1
107,Brock Travelstead*,Louisville,ACC,14,39,41,95.1,17,24,70.8,90,,brock-travelstead-1
108,Alen Karajic*,Jacksonville State,CUSA,12,42,43,97.7,14,20,70.0,84,,alen-karajic-1
109,Jacob Borcila,Vanderbilt,SEC,12,29,30,96.7,7,10,70.0,50,,jacob-borcila-1
110,Jonathan Weitz*,Clemson,ACC,10,29,29,100.0,14,20,70.0,71,,jonathan-weitz-1
111,Matthew Dennis,Wake Forest,ACC,11,20,21,95.2,14,20,70.0,62,,matthew-dennis-1
112,Drew Stevens*,Iowa,Big Ten,14,19,20,95.0,18,26,69.2,73,,drew-stevens-2
113,Gianni Spetic*,Ohio,MAC,12,33,34,97.1,18,26,69.2,87,,gianni-spetic-1
114,Ben Sauls,Pitt,ACC,12,28,28,100.0,11,16,68.8,61,,ben-sauls-1
115,Dario Longhetto,Arizona State,Pac-12,12,20,20,100.0,11,16,68.8,53,,dario-longhetto-1
116,John Cannon*,South Florida,American,13,52,52,100.0,11,16,68.8,85,,john-cannon-2
117,Jack Howes*,Maryland,Big Ten,13,46,47,97.9,13,19,68.4,85,,jack-howes-1
118,Jack Browning,San Diego State,MWC,12,23,23,100.0,15,22,68.2,68,,jack-browning-1
119,Spencer Shrader*,Notre Dame,Ind,13,61,62,98.4,15,22,68.2,106,,spencer-shrader-1
120,Camden Lewis*,Oregon,Pac-12,14,70,70,100.0,12,18,66.7,106,,camden-lewis-1
121,Dante Jackson,Akron,MAC,12,3,3,100.0,2,3,66.7,9,,dante-jackson-2
122,Dean Janikowski,Washington State,Pac-12,12,44,44,100.0,10,15,66.7,74,,dean-janikowski-1
123,Diego Guajardo*,South Alabama,Sun Belt,13,45,47,95.7,14,21,66.7,87,,diego-guajardo-1
124,Ethan Sanchez*,Old Dominion,Sun Belt,13,36,36,100.0,14,21,66.7,78,,ethan-sanchez-1
125,Griffin Kell,Texas Christian,Big 12,12,44,46,95.7,14,21,66.7,86,,griffin-kell-1
126,Kyler Halvorsen*,San Jose State,MWC,13,54,55,98.2,10,15,66.7,84,,kyler-halvorsen-1
127,Nathan Kirkwood,Navy,American,9,16,17,94.1,6,9,66.7,34,,nathan-kirkwood-1
