,,,,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
22,Sam Houston,13,20.5,17.6,30.7,57.4,177,1.1,36.5,144.5,4,1.3,67.2,321.5,4.8,8.6,8.5,1.2,18.3,6.7,55.9,0.8,1.2,2.1
23,Georgia,14,20.6,17.9,30.4,58.9,200.2,1,34.9,129.6,3.7,1,65.4,329.9,5,8.9,7,1.9,17.8,6.4,49.3,0.8,0.6,1.4
24,Tulane,14,20.6,16.8,28.9,58.2,177.7,0.9,32.6,145.8,4.5,1.4,61.4,323.5,5.3,8.2,7.3,1.9,17.4,5.7,46.6,0.6,1,1.6
25,Utah,12,20.7,16.6,31.7,52.4,200.3,1.3,33.7,129.4,3.8,1.1,65.3,329.7,5,8.5,6.8,1.3,16.5,6.2,43.8,0.5,1,1.5
26,Louisiana Tech,13,21,15.7,28.2,55.7,172.8,0.8,37.8,135.5,3.6,1.6,65.9,308.4,4.7,7.6,8.2,1.9,17.8,4.8,41.8,0.9,0.4,1.3
27,Auburn,12,21.3,16.6,29.5,56.2,213,1,38.3,117.8,3.1,1.5,67.8,330.8,4.9,8.4,7.5,1.8,17.8,6.5,53.5,0.4,0.7,1.1
28,UNLV,14,21.3,21.1,36.9,57.3,235.9,1.4,32.6,115,3.5,1.2,69.6,350.9,5,11.1,6.7,1.9,19.8,6.4,60.3,0.4,1.2,1.6
29,Oklahoma,13,21.5,16.7,27.8,60.1,203.2,1.3,36.6,115.1,3.1,0.8,64.4,318.2,4.9,8.8,6.2,1.3,16.3,6.2,52.9,0.9,0.7,1.6
30,Bowling Green State,13,21.6,16.5,28.5,57.8,185.4,1.3,34.1,145.9,4.3,1.1,62.5,331.3,5.3,8.3,7.8,1.4,17.5,5.2,44,0.2,0.9,1.1
31,Illinois,13,21.7,20.2,34.2,59,224.8,1.5,33.9,148.4,4.4,0.9,68.1,373.2,5.5,10.8,9,1.3,21.2,5.6,50.8,0.6,0.9,1.5
32,Kentucky,12,22.1,14.8,23.3,63.4,183.7,0.8,36.3,161.8,4.5,1.7,59.6,345.5,5.8,7.8,8.7,1.4,17.9,6.8,55.2,0.5,0.8,1.3
33,SMU,14,22.1,19.9,35.3,56.3,225.8,1.7,34.5,100.2,2.9,0.9,69.8,326,4.7,10,6.1,2.5,18.6,6.6,58.4,0.4,1.1,1.6
34,Navy,13,22.2,18.5,31.2,59.3,212.8,1.5,37.5,156.1,4.2,1.3,68.6,368.9,5.4,9.2,8.9,1.6,19.7,6,49.1,0.5,1.3,1.8
35,Texas A&M,13,22.2,17.5,32.9,53.3,232.2,1.5,34,135.2,4,1.1,66.9,367.3,5.5,9.5,7.8,2.3,19.6,6.2,51.8,0.3,1.2,1.5
